project,avg_commits_per_day,avg_lines_added_per_commit,avg_lines_deleted_per_commit
mathemat-lab,3.0,5142.9,2577.57
maybe2020.github.io,1.71,3781.42,185.25
mazey-wordpress-utils,2.0,1162.67,1159.33
mb-portfolio,3.25,2219.4,238.05
Minesweeper-React,1.83,100371.18,8552.0
mini_startpage,5.0,105.0,0.4
miroshkin.github.io,3.09,317.27,50.64
misc,3.5,9.71,5.14
MoizHasan,2.0,2274.57,1219.86
moodle-tool_opencast,2.0,37.7,4.31
movie-recom,1.58,58523.84,55792.51
MPMBs,0.0,0.0,0.0
msdos-editor,3.0,1912.92,655.08
myNotes,3.18,2054.02,208.55
Nashira,1.21,232.94,105.0
nebrasketball,7.02,5.86,5.76
neelimasharma.github.io,6.62,4320.34,1119.17
neocompiler-eco,6.02,945.55,909.53
next-web-toolkits,2.62,22.33,6.52
nice-move,2.42,196.84,83.91
nikuman,2.16,235.98,196.04
node-edfsm,2.9,256.45,4.72
node-mqttsngw-mqttbroker,2.0,540.86,147.68
node-red-contrib-evohome,3.86,84.19,31.61
nodekb,1.33,177.83,42.5
nodespeak,1.0,80.0,0.0
nono-sam,1.5,72.67,4.67
nosso_amigo_secreto,2.92,1103.0,13.94
notebook,1.95,87.61,1.84
NotesReview,2.46,79.04,43.21
notifications-slack,1.54,140.37,110.69
numberworks_website,3.33,229.14,3.21
oasis.cbd.int,2.18,410.12,44.92
ODH,2.43,93.46,61.38
OldTimeHockey,3.32,430.11,117.1
orgajs,3.66,406.95,287.87
oscnews,3.88,196.99,56.55
OSU-AI-Club.github.io,3.0,83.17,71.96
Otee,2.03,367.94,59.69
passing-notes,2.46,183.52,138.95
passport,5.96,40.2,12.85
personal_website,1.83,188.91,73.27
pixi-shim,2.33,136.05,125.62
PLXK,1.88,14004.48,13756.47
Pool,1.5,43.57,12.95
portal,3.65,202.99,142.27
portfolio,14.5,211.66,72.07
PorticoEstate,4.14,608.59,410.7
prepply,1.61,14.17,89.66
prerender-alpine,1.8,5.97,2.75
ProcessingExperiments,4.96,508.48,234.73
projection-engine-db-doc,2.23,17341.97,2473.16
puerto-rico-scoresheet,3.68,394.8,258.92
puppet-strings,3.29,212.37,144.89
quanthub,2.31,139.55,67.63
random-word-wikipedia,4.14,21.86,12.14
RCGame.github.io,30.38,37.71,18.57
react-badly,4.88,184.62,51.05
react-file-icon,2.5,1356.67,943.83
react_playground,2.11,6759.63,3598.79
reading-notes,1.3,250.47,13.98
remote,2.3,117.74,17.22
reneghosh.github.io,0.0,0.0,0.0
resume,4.33,39.04,20.19
rifat-hossain.github.io,1.71,4110.05,247.17
robinaone.github.io,1.83,124.2,112.75
romanesco-theme,1.96,31.42,12.25
safe-to-swim,1.78,236.49,220.92
salesforce-jwt-bearer-token-flow,3.3,36.88,16.03
SampleAPIs,5.66,2922.59,1784.9
sandbox,2.0,1.0,0.0
schematics-angular-builds,5.33,105.88,57.64
scratch-svg-renderer,2.05,93.01,78.98
ShayanPersonal.github.io,0.0,0.0,0.0
shruti3101.github.io,3.29,7509.17,28.39
simple-server,6.0,31.45,6.81
site-settings-seo,4.06,93.67,62.85
sitefolio,3.8,88.38,39.39
sm-crypto,2.68,241.1,192.59
smerge,5.23,355.1,314.03
snowflake-connector-nodejs,1.95,731.76,220.45
snowstorm,1.35,38.22,6.0
SoftUniPractice,4.4,98.16,2.55
sonnen-dashboard,4.0,174.0,12.18
soundTest,2.0,83.0,1.0
spoof-timezone,1.62,845.54,213.77
sprinter-turtle,1.76,92.78,92.62
ssl-express-www,3.3,171.25,124.87
stanlee12.github.io,3.67,547.36,23.73
starrynightzyq.github.io,2.0,6649.0,729.32
startpage,1.75,478.14,22.43
static-project,1.17,315.48,5.05
stats-of-the-storm,3.35,369.91,91.58
stellarguard,3.63,86.01,25.0
sticky-events,3.89,88.64,57.09
stills,3.74,42.09,20.35
streetlives-api,2.34,225.86,109.81
stuart,3.67,123.0,4.0
study-collections,1.42,1452.57,2.87
SubscriptionsWeb,1.74,111.7,79.63
surveyjs-wordpress,2.47,206.63,118.05
svenenwouter2,4.94,46.79,23.78
svn-repository-provider,2.61,1.26,0.93
TCDI,1.69,253.81,216.0
TcNo-Steam-Card-Assistant,3.14,103.09,39.91
telegraf-metrix-node,0.0,0.0,0.0
three-mesh-bvh,5.66,511.74,351.48
ThunderSite,2.19,604.68,67.17
toad_modules,6.25,10.32,4.36
Toyama-RT.github.io,2.78,3287.13,166.09
tree-sitter-fortran,3.54,6311.65,5934.84
trial-bot,2.83,85.35,22.65
trkern.github.io,2.35,557.94,140.73
TweetTest,1.42,1179.65,582.02
unimail,3.61,49.3,30.31
upVotePlugin,2.54,244.46,97.68
urdf-loaders,4.62,332.68,87.98
user-app,2.52,157.91,60.02
userscripts,2.04,22.29,14.96
videomost,2.5,49.0,2.6
vignere-babbage-cipher,3.5,81.93,8.21
vip-cli,4.67,41.5,32.19
vue-mousetrap,5.5,17.55,0.55
vue-mta-activity,2.45,638.04,538.33
vue-nutrition-label,2.74,54.89,13.86
vue-signature-pad,2.53,117.9,76.0
wai-website-theme,3.11,236.98,104.66
wdio-docker-service,3.2,253.88,166.84
webComps,2.91,222.72,85.97
webpack-bugsnag-plugins,3.07,99.39,55.06
webpack-compass-imagehelper,3.38,16.22,1.19
webpack-mpa,2.21,71.9,60.77
website,3.68,3103.54,2859.97
website-source,0.0,0.0,0.0
wikipedia-viewer-reactjs,2.56,18.35,10.2
winwrap_client,6.22,1616.74,498.27
wix-code-docs,4.52,151.42,86.92
WME-GIS-Layers,2.7,77.07,70.02
worker-factory,3.85,58.16,51.1
x1n,3.82,32.43,8.63
xml-urls,2.31,8.24,2.55
yid,3.0,25.89,3.11
zigbee-adapter,1.42,214.96,81.91
zuhthebeg.github.com,4.2,193.1,96.86
