repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
idsia-robotics/idsia-robotics.github.io,3,0.0059,0.0058,0.0,0.0018,0.014,0.0017,0.014,0.0176,3
jaywcjlove/oscnews,57,115.2179,143.9067,6.99,44.2187,189.2979,0.0015,542.4633,6567.4197,5
OSU-AI-Club/OSU-AI-Club.github.io,79,11.8042,80.7509,0.0,0.0001,0.0006,0.0,692.0215,932.5302,70
screwdriver-cd/notifications-slack,51,8.9074,47.833,0.06,0.7011,1.6045,0.0002,344.9444,454.2764,11
johnluffa/hello-world,19,0.0192,0.0694,0.0,0.0002,0.0016,0.0001,0.3109,0.3652,17
arthurimirzian/salesforce-jwt-bearer-token-flow,9,225.9239,339.1238,2.06,34.8329,334.3595,0.01,1013.8546,2033.3152,1
bywatersolutions/koha-plugin-cloudlibrary,8,91.1575,131.0541,0.0,16.3918,190.8049,0.0012,385.5836,729.2599,3
TNG/karma-child-process,9,67.9767,172.5794,2.27,5.5331,17.0092,0.0364,555.8302,611.7906,1
DFE-Digital/login.dfe.sanitization,13,213.3366,431.426,0.0,1.0197,263.0542,0.0032,1588.9005,2773.3755,5
theNumberWorks/numberworks_website,1,0.4707,0.0,0.47,0.4707,0.4707,0.4707,0.4707,0.4707,0
amadeus4dev/amadeus-node,225,44.1038,123.1757,0.2,3.9713,28.2854,0.0001,1000.7906,9923.3454,42
breedx2/prepply,3,2.0412,2.8112,0.01,0.0974,6.0165,0.0097,6.0165,6.1236,1
7c/telegraf-metrix-node,2,492.1804,492.1803,0.0,984.3607,984.3607,0.0001,984.3607,984.3608,1
nci-hcmi-catalog/portal,1042,33.9272,99.7123,0.04,4.0034,27.8127,0.0001,1049.6158,35352.1682,268
stellarguard/stellarguard,37,98.6429,142.3571,3.27,38.5055,140.1372,0.0002,629.3142,3649.7879,7
flespi-software/flespi-io-js,12,77.8171,98.1218,2.81,39.5186,159.4034,0.0737,328.9124,933.8058,0
webdriverio-community/wdio-docker-service,135,13.5523,35.1157,0.01,0.5444,5.7255,0.0001,218.3185,1829.5574,46
joue-quroi/spoof-timezone,8,40.5165,62.868,0.1,10.5022,118.8156,0.0006,173.8607,324.1323,2
DhananjayGupta300/DhananjayGupta300.github.io,1,450.0769,0.0,450.08,450.0769,450.0769,450.0769,450.0769,450.0769,0
lucascantor/blog.lucascantor.com,95,1.6588,8.9631,0.0,0.0001,0.0006,0.0,71.9787,157.5829,88
dxps/react_playground,9,0.0291,0.0584,0.0,0.0009,0.0032,0.0003,0.1825,0.2618,7
yyx990803/launch-editor,81,304.7939,485.6678,4.31,102.9068,450.3856,0.0004,2541.2808,24688.3088,5
discourse-lab/Connective-Lex.info,9,0.0004,0.0005,0.0,0.0003,0.0005,0.0001,0.0017,0.0036,9
yanagiragi/SubscriptionsWeb,13,46.321,99.8331,0.12,1.8372,8.5738,0.0001,322.1023,602.1732,3
Prozi/pixi-shim,48,132.4092,179.6161,21.68,54.5082,189.6145,0.0004,834.9757,6355.6439,1
sunwu51/notebook,17,431.1343,588.7534,30.55,146.5602,342.302,0.7021,1505.5977,7329.2837,0
TCNOco/TcNo-Steam-Card-Assistant,1,88.9142,0.0,88.91,88.9142,88.9142,88.9142,88.9142,88.9142,0
Esri/arcade-expressions,81,107.221,228.463,0.08,1.8598,56.1165,0.0002,911.0285,8684.9022,19
nathmahale/mathemat-lab,52,22.9034,25.6126,6.63,10.4178,34.6083,0.0001,96.4306,1190.9791,5
gkjohnson/urdf-loaders,275,59.0951,216.125,0.25,2.755,16.1188,0.0,2397.2333,16251.1561,37
corygibbons/react-file-icon,47,54.3439,89.8181,0.05,4.9887,78.8972,0.0011,310.5781,2554.1637,11
vinsonchuong/puppet-strings,59,152.4599,307.965,0.0,3.4426,150.5551,0.0001,1252.1583,8995.1348,27
vinsonchuong/passing-notes,31,42.8782,80.2519,0.0,0.028,54.0881,0.0001,326.7753,1329.2237,16
ShowingCloud/Nashira,45,3.2386,7.0716,0.0,0.1043,1.8887,0.0005,27.9513,145.7363,21
ShowingCloud/Dabih,55,3.7066,7.5719,0.01,0.3815,3.388,0.0003,33.0156,203.865,21
datamade/bga-payroll,518,59.3708,162.9227,0.05,3.7505,24.2195,0.0,1078.8445,30754.0559,128
xemuliam/misc,2,0.0001,0.0,0.0,0.0002,0.0002,0.0001,0.0002,0.0002,2
energydrink9/functional-data-grid,23,13.893,34.7037,0.03,0.7254,7.2322,0.0014,134.8486,319.5381,6
y13i/cfn-schema,231,43.4887,146.9812,0.0,0.0022,0.734,0.0,765.5936,10045.887,144
IonicaBizau/vignere-babbage-cipher,7,0.0001,0.0001,0.0,0.0001,0.0002,0.0001,0.0003,0.0009,7
IonicaBizau/videomost,5,10.5665,21.1328,0.0,0.0001,0.0001,0.0,52.832,52.8324,4
IonicaBizau/msdos-editor,6,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0004,6
scott113341/group-sms,19,24.8534,54.5351,0.05,0.1553,13.3487,0.0054,198.8982,472.2151,4
reneghosh/reneghosh.github.io,2,0.001,0.0002,0.0,0.0011,0.0011,0.0008,0.0011,0.0019,2
onechiporenko/ember-bootstrap-modals-manager,191,32.4721,118.8254,0.19,1.3593,7.2507,0.0001,947.0288,6202.1723,32
Linaro/lkft-website,366,17.0034,95.7369,0.0,0.0252,0.9867,0.0003,1062.8484,6223.2281,194
NeoResearch/neocompiler-eco,102,41.7298,119.6025,0.12,1.0955,19.3517,0.0001,743.7815,4256.4355,21
mkdinh/bootcamp-manager,10,152.8609,101.6286,29.77,205.6575,238.7643,7.551,294.8875,1528.6086,0
ebaauw/homebridge-music,26,50.743,173.0969,0.76,7.1048,19.7685,0.0048,899.3647,1319.3175,3
lesteve/userscripts,2,20.3128,20.2776,0.04,40.5905,40.5905,0.0352,40.5905,40.6257,1
honeycombio/beeline-nodejs,724,116.2997,310.3827,0.64,4.5116,22.0482,0.0001,1455.7048,84200.9579,112
belachkar/nodekb,26,104.2777,284.0001,0.0,3.8766,48.0083,0.0,1280.8428,2711.2196,9
pageboard/client,59,119.3695,160.7959,1.95,14.8247,317.5615,0.0006,485.1156,7042.8,5
TwoStoryRobot/eslint-config,70,85.6462,230.9016,0.08,0.7054,12.0557,0.0001,1077.8498,5995.2316,16
NodHero/MPMBs,1,0.058,0.0,0.06,0.058,0.058,0.058,0.058,0.058,0
Merkoba/Huebot,6,47.0061,48.069,0.03,73.0836,104.2774,0.0017,104.4327,282.0367,2
tvanro/prerender-alpine,13,10.5694,29.6736,0.77,1.373,2.4393,0.0012,113.0922,137.4028,1
