project,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfVulnerabilities,numberOfCodeSmells,numberOfIssuesRelatedToMaintainability,numberOfIssuesRelatedToReliability,numberOfIssuesRelatedToSecurity,numberOfIssuesWithLowSeverity,numberOfIssuesWithMediumSeverity,numberOfIssuesWithHighSeverity,totalTimeNeededToRemoveDebts
uber-clone,5,21,0,3,2,3,24,0,0,0,0,0,0,3h11min
UMTX,13,84,3,0,3,0,97,0,0,0,0,0,0,11h32min
usercentrics-widgets,2,7,0,0,0,0,9,0,0,0,0,0,0,36min
usdr-gost,24,47,29,0,4,0,96,0,0,0,0,0,0,13h59min
user_migration,26,22,9,2,0,2,57,0,0,0,0,0,0,6h12min
video-json,5,41,0,0,8,0,38,0,0,0,0,0,0,3h30min
vizitka-interaktivni,3,8,1,0,3,0,9,0,0,0,0,0,0,1h12min
unitedprinters.github.io,12,86,2,0,15,0,85,0,0,0,0,0,0,8h21min
voice-over-translation,4,83,13,0,4,0,96,0,0,0,0,0,0,12h9min
vue-currentuser,0,1,1,0,0,0,2,0,0,0,0,0,0,10min
VincentJuge1987.github.io,34,66,0,0,60,0,40,0,0,0,0,0,0,7h
vue-demo,2,3,0,0,1,0,4,0,0,0,0,0,0,22min
vue-stark-boil,0,4,0,0,0,0,4,0,0,0,0,0,0,20min
Warzone-generator,17,28,0,0,17,0,28,0,0,0,0,0,0,4h32min
