project,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfVulnerabilities,numberOfCodeSmells,numberOfIssuesRelatedToMaintainability,numberOfIssuesRelatedToReliability,numberOfIssuesRelatedToSecurity,numberOfIssuesWithLowSeverity,numberOfIssuesWithMediumSeverity,numberOfIssuesWithHighSeverity,totalTimeNeededToRemoveDebts
3nations-bingo,0,3,0,0,2,0,1,0,0,0,0,0,0,20min
adamsocrat,1,2,0,0,0,0,3,0,0,0,0,0,0,15min
aep-mobile-sdkdocs,2,5,0,0,0,0,7,0,0,0,0,0,0,35min
admin,4,88,8,0,11,0,89,0,0,0,0,0,0,11h24min
3d,0,82,18,0,9,0,91,0,0,0,0,0,0,5h19min
afpweb,5,92,3,0,1,0,99,0,0,0,0,0,0,9h24min
algorithm_study,0,28,1,0,2,0,27,0,0,0,0,0,0,6h14min
algorithm,20,60,3,0,19,0,64,0,0,0,0,0,0,7h8min
AntoninSlejska.github.io,6,69,0,0,28,0,47,0,0,0,0,0,0,3h29min
alphabiz,7,83,10,0,5,0,95,0,0,0,0,0,0,10h22min
app-geolocalizaci-n,6,2,0,0,2,0,6,0,0,0,0,0,0,40min
andreped.github.io,25,72,3,0,25,0,75,0,0,0,0,0,0,9h9min
array-typed-complex,18,77,5,0,14,0,86,0,0,0,0,0,0,12h51min
arvidsandin.github.io,21,79,0,0,33,0,67,0,0,0,0,0,0,9h12min
auto-contributer,0,1,0,0,1,0,0,0,0,0,0,0,0,5min
attendees32,6,81,13,0,0,0,100,0,0,0,0,0,0,8h40min
atuannguyen.github.io,26,71,3,0,24,0,76,0,0,0,0,0,0,9h39min
awesome-web3,5,0,0,0,0,0,5,0,0,0,0,0,0,25min
ArchiCG,4,96,0,0,8,0,92,0,0,0,0,0,0,7h27min
aziendasanitaria-utils,12,72,16,0,4,0,96,0,0,0,0,0,0,13h20min
BaiduFanyi_Crawler,0,7,0,0,0,0,7,0,0,0,0,0,0,35min
Baileys,22,62,16,0,3,0,97,0,0,0,0,0,0,10h18min
bike-fun,0,100,0,0,2,0,98,0,0,0,0,0,0,9h29min
BeatSaber-Web-Replays,14,82,4,0,3,0,97,0,0,0,0,0,0,9h8min
azdataGraph,16,78,6,0,8,0,92,0,0,0,0,0,0,8h18min
blogtini,54,46,0,0,29,0,71,0,0,0,0,0,0,9h1min
bosenaja,0,1,0,0,0,0,1,0,0,0,0,0,0,2min
blockquote-web-components,20,80,0,0,8,0,92,0,0,0,0,0,0,10h39min
Bon,6,85,9,0,0,0,100,0,0,0,0,0,0,11h5min
bring-your-umbrella,75,25,0,0,0,0,100,0,0,0,0,0,0,8h17min
Brutal2,49,42,9,0,2,0,98,0,0,0,0,0,0,13h54min
bridge,83,15,2,0,4,0,96,0,0,0,0,0,0,8h16min
cal,0,100,0,0,9,0,91,0,0,0,0,0,0,9h5min
cfi-commonplace-book,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
catalog_courses_update,71,29,0,0,1,0,99,0,0,0,0,0,0,9h37min
ChemicalStructureEditor,0,97,3,0,0,0,100,0,0,0,0,0,0,8h59min
Chirpity-Electron,20,76,4,0,19,0,81,0,0,0,0,0,0,14h3min
collection-ui,63,37,0,0,6,0,94,0,0,0,0,0,0,8h20min
cilium.io,16,48,0,0,0,0,64,0,0,0,0,0,0,9h55min
com.tomtom,3,32,2,0,5,0,32,0,0,0,0,0,0,3h18min
community-images,0,1,0,1,0,1,1,0,0,0,0,0,0,35min
codewars-katas,5,95,0,0,6,0,94,0,0,0,0,0,0,8h27min
chrislockard.net,68,32,0,0,9,0,91,0,0,0,0,0,0,10h8min
content-entry-transform,0,6,1,0,0,0,7,0,0,0,0,0,0,45min
Crypto-Tracker,11,1,0,0,0,0,12,0,0,0,0,0,0,1h
CS559-Lib,1,4,2,0,0,0,7,0,0,0,0,0,0,1h
content-scope-scripts,2,77,21,0,3,0,97,0,0,0,0,0,0,13h50min
curricularbwg,23,7,1,0,1,0,30,0,0,0,0,0,0,2h25min
cybertiwari,15,5,0,0,2,0,18,0,0,0,0,0,0,1h32min
cypress-crawl-example,4,0,4,0,4,0,4,0,0,0,0,0,0,1h40min
dashboard,15,30,55,0,0,0,100,0,0,0,0,0,0,21h9min
d3Charts,8,37,0,0,26,0,19,0,0,0,0,0,0,4h
deno-bin-test-1,0,2,0,0,0,0,2,0,0,0,0,0,0,10min
dataflux,2,19,38,0,1,0,58,0,0,0,0,0,0,14h14min
csaf-validator-lib,3,79,18,0,0,0,100,0,0,0,0,0,0,14h35min
DevSummit-presentation,29,70,1,0,42,0,58,0,0,0,0,0,0,11h13min
docoff,0,3,1,0,2,0,2,0,0,0,0,0,0,31min
docs-es,0,6,0,0,0,0,6,0,0,0,0,0,0,8min
DSA,3,28,1,0,0,0,32,0,0,0,0,0,0,2h53min
e2z1.github.io,6,9,0,0,4,0,11,0,0,0,0,0,0,1h3min
dpl4server,10,68,5,2,1,2,82,0,0,0,0,0,0,10h1min
docs,44,52,0,4,22,4,74,0,0,0,0,0,0,12h20min
EatDanbai,23,38,6,1,13,1,54,0,0,0,0,0,0,10h33min
electron-hiprint,7,27,0,0,13,0,21,0,0,0,0,0,0,2h14min
echolacombe,17,24,18,0,2,0,57,0,0,0,0,0,0,4h51min
eckles,25,71,4,0,2,0,98,0,0,0,0,0,0,6h14min
ember-apply,2,13,4,0,1,0,18,0,0,0,0,0,0,2h22min
eslint-plugin-smarthr,10,71,19,0,0,0,100,0,0,0,0,0,0,16h4min
fetch,0,9,0,0,0,0,9,0,0,0,0,0,0,1h2min
ewibot,4,38,13,0,1,0,54,0,0,0,0,0,0,6h43min
fenagh,24,76,0,0,1,0,99,0,0,0,0,0,0,8h17min
faker3,1,98,1,0,32,0,68,0,0,0,0,0,0,10h22min
find-cypress-specs,0,2,0,0,0,0,2,0,0,0,0,0,0,6min
fastropemadeira,49,41,10,0,9,0,91,0,0,0,0,0,0,8h11min
ffc-pay-request-editor,2,3,0,0,1,0,4,0,0,0,0,0,0,32min
flat-voortgang,0,1,0,0,0,0,1,0,0,0,0,0,0,10min
fleteRos-frontend,68,30,2,0,5,0,95,0,0,0,0,0,0,7h36min
Foundry_WoD20,9,81,10,0,2,0,98,0,0,0,0,0,0,10h46min
flex,7,93,0,0,0,0,100,0,0,0,0,0,0,7h29min
fucking-awesome-mac,0,4,0,0,0,0,4,0,0,0,0,0,0,32min
FormPress,44,49,5,2,12,2,86,0,0,0,0,0,0,10h28min
fullstack,19,1,0,0,0,0,20,0,0,0,0,0,0,1h40min
fxserver-versions-scraper,0,3,0,0,1,0,2,0,0,0,0,0,0,15min
funcSug,5,91,4,0,12,0,88,0,0,0,0,0,0,8h48min
frontend-monorepo,23,64,13,0,6,1,93,0,0,0,0,0,0,11h24min
gDorigon.github.io,6,30,0,0,29,0,7,0,0,0,0,0,0,2h55min
git-commit-analytics,2,4,2,0,0,0,8,0,0,0,0,0,0,1h43min
Google-Trends-Keywords-Scraper,1,2,0,0,0,0,3,0,0,0,0,0,0,15min
github-action-contributors,5,93,2,0,2,0,98,0,0,0,0,0,0,9h24min
gmierzwinski.github.io,1,99,0,0,15,0,85,0,0,0,0,0,0,14h50min
gittargets,9,91,0,0,79,0,21,0,0,0,0,0,0,2h52min
Harry-Potter-character-searcher-React,63,3,0,0,0,0,66,0,0,0,0,0,0,5h30min
Han-Yuan-Med.github.io,19,76,5,0,9,0,91,0,0,0,0,0,0,9h3min
helix-mediahandler,0,2,1,0,0,0,3,0,0,0,0,0,0,22min
HatsAndCaps,6,36,4,0,13,0,33,0,0,0,0,0,0,5h22min
helix-sidekick-extension,4,69,27,0,5,0,95,0,0,0,0,0,0,14h20min
hello-world-nextjs,23,5,0,0,3,0,25,0,0,0,0,0,0,2h40min
home-ops,0,33,0,0,0,23,10,0,0,0,0,0,0,9h10min
hap-toolkit,11,79,10,0,9,0,91,0,0,0,0,0,0,14h49min
homebridge-deconz,4,56,22,0,13,0,69,0,0,0,0,0,0,11h56min
IDEddy.github.io,2,10,0,0,0,0,12,0,0,0,0,0,0,1h
imageframe,0,86,0,0,0,0,86,0,0,0,0,0,0,7h2min
homeChange_vs2022,0,98,2,0,8,0,92,0,0,0,0,0,0,7h54min
inotebook,28,10,1,0,3,0,36,0,0,0,0,0,0,3h7min
Interview-questions,2,20,0,0,4,0,18,0,0,0,0,0,0,2h7min
intelligent-EMB,66,31,3,0,0,0,100,0,0,0,0,0,0,7h54min
ip1-8191201,12,20,8,0,0,0,40,0,0,0,0,0,0,3h30min
ipv-cri-address-front,2,5,4,0,0,0,11,0,0,0,0,0,0,1h9min
ipv-cri-kbv-front,0,1,2,0,0,0,3,0,0,0,0,0,0,21min
Javascript-challenges,3,12,2,0,5,0,12,0,0,0,0,0,0,1h52min
JavascriptKeyboard,3,9,0,0,0,0,12,0,0,0,0,0,0,48min
jetpack-shared-extension-utils,4,3,0,0,0,0,7,0,0,0,0,0,0,55min
JavaScriptLearning,2,98,0,0,6,0,94,0,0,0,0,0,0,8h57min
jradziejewski,10,17,1,0,9,0,19,0,0,0,0,0,0,1h56min
js-taiwan-reservoirs-information,0,7,0,0,0,0,7,0,0,0,0,0,0,27min
jordangalida.github.io,11,88,1,0,3,0,97,0,0,0,0,0,0,8h15min
kappaml.com,35,8,1,0,0,0,44,0,0,0,0,0,0,3h40min
korogluoykuleri,3,20,2,0,1,0,24,0,0,0,0,0,0,1h44min
koreaygj.github.io,24,76,0,0,1,0,99,0,0,0,0,0,0,8h19min
labs,3,5,0,0,6,0,2,0,0,0,0,0,0,24min
lcgbr-ecom,23,13,3,0,4,0,35,0,0,0,0,0,0,2h31min
learn-express,4,36,1,1,2,1,39,0,0,0,0,0,0,3h12min
lectures,67,33,0,0,43,0,57,0,0,0,0,0,0,17h21min
leet-code,5,34,1,0,1,0,39,0,0,0,0,0,0,3h31min
js-taiwan-after-schools-map,2,48,0,0,1,0,49,0,0,0,0,0,0,4h
leet_code,5,91,4,0,0,0,100,0,0,0,0,0,0,8h50min
kek-online-archive,41,55,4,0,27,0,73,0,0,0,0,0,0,8h40min
legacy_annotation_tool,26,8,7,0,1,0,40,0,0,0,0,0,0,2h42min
logger,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
lifehacks,27,73,0,0,21,0,79,0,0,0,0,0,0,8h4min
leet_code_practice,17,80,3,0,2,0,98,0,0,0,0,0,0,9h2min
luma-homeops,0,76,0,0,0,42,34,0,0,0,0,0,0,18h15min
manav,1,70,0,0,5,0,66,0,0,0,0,0,0,1h41min
madcamp_week2_server,4,20,0,0,0,0,24,0,0,0,0,0,0,1h55min
markharrison.github.io,28,72,0,0,31,0,69,0,0,0,0,0,0,9h40min
minesweeper,8,91,1,0,5,0,95,0,0,0,0,0,0,8h58min
luckyos-code.github.io,25,72,3,0,25,0,75,0,0,0,0,0,0,9h9min
mrKuznetsov698.github.io,1,1,0,0,1,0,1,0,0,0,0,0,0,10min
mocowcow.github.io,24,76,0,0,1,0,99,0,0,0,0,0,0,8h19min
msswabot,2,39,2,4,0,4,43,0,0,0,0,0,0,7h30min
MC_go,28,68,4,0,6,0,94,0,0,0,0,0,0,6h39min
ndarray-base-assert-is-read-only,18,79,3,0,11,0,89,0,0,0,0,0,0,11h
ndarray-zeros,23,72,5,0,16,0,84,0,0,0,0,0,0,11h28min
monorepo,28,71,1,0,1,2,97,0,0,0,0,0,0,6h20min
Nerinyan-WEB,39,60,1,0,1,0,99,0,0,0,0,0,0,8h4min
Nick-NCSU.github.io,7,0,0,0,0,0,7,0,0,0,0,0,0,35min
nimmersatt,1,2,0,0,0,0,3,0,0,0,0,0,0,15min
node-red-my-nodes,9,73,9,0,1,0,90,0,0,0,0,0,0,8h58min
node.it,0,1,0,0,1,0,0,0,0,0,0,0,0,2min
OpiskelijalounasWebFetchAction,0,6,0,0,1,0,5,0,0,0,0,0,0,16min
obscene_racing_machine,5,94,1,0,20,0,80,0,0,0,0,0,0,10h4min
p5_collection,11,21,3,0,21,0,14,0,0,0,0,0,0,3h13min
nodejs-express-jwt-mongodb-boilerplate,3,72,12,0,2,0,85,0,0,0,0,0,0,16h31min
OrganDonationAPP,21,79,0,0,3,0,97,0,0,0,0,0,0,5h39min
personal-landing-page,5,19,0,0,0,0,24,0,0,0,0,0,0,1h32min
PersonalSite,66,24,10,0,5,0,95,0,0,0,0,0,0,10h7min
NSE-BhavCopy-Daily,0,5,0,0,0,0,5,0,0,0,0,0,0,17min
philanderson.uk,21,12,0,0,1,0,32,0,0,0,0,0,0,2h18min
Pixel-Art-Maker-at-Masterschool,0,3,0,0,3,0,0,0,0,0,0,0,0,5min
pgz-hiprint-html,0,100,0,0,21,0,79,0,0,0,0,0,0,7h39min
plexrepo,1,0,0,0,0,0,1,0,0,0,0,0,0,5min
playchess,91,6,2,1,1,1,98,0,0,0,0,0,0,8h53min
PiLot,3,96,1,0,15,0,85,0,0,0,0,0,0,3h40min
pob-monorepo-test-repository,15,20,0,0,3,0,32,0,0,0,0,0,0,2h21min
portfolio,62,38,0,0,9,0,91,0,0,0,0,0,0,7h36min
portfolio-ggc,4,2,0,0,0,0,6,0,0,0,0,0,0,30min
portfolio-v2,11,4,0,0,0,0,15,0,0,0,0,0,0,1h7min
Portfolio_old,91,7,2,0,2,0,98,0,0,0,0,0,0,8h42min
postcss-lightningcss,0,7,0,0,0,0,7,0,0,0,0,0,0,15min
pravee03,0,1,2,0,0,0,3,0,0,0,0,0,0,21min
presentations,26,60,14,0,11,6,83,0,0,0,0,0,0,13h23min
press-start,11,87,2,0,10,0,90,0,0,0,0,0,0,7h46min
projects,56,37,7,0,14,0,86,0,0,0,0,0,0,11h47min
putio-downloader,3,4,0,0,1,0,6,0,0,0,0,0,0,32min
Quotes,0,10,0,0,1,0,9,0,0,0,0,0,0,43min
roborock-controller-api,4,1,0,0,0,0,5,0,0,0,0,0,0,25min
RAScripts,0,4,1,0,0,0,5,0,0,0,0,0,0,27min
rss-feed-parser,0,1,1,0,0,0,2,0,0,0,0,0,0,26min
Rules,2,4,0,0,0,0,6,0,0,0,0,0,0,15min
ScoreSaberRanking,1,18,0,0,1,0,18,0,0,0,0,0,0,1h29min
scarletflamecandleco.github.io,7,93,0,0,36,0,64,0,0,0,0,0,0,4h51min
SearchPhrases,0,51,0,0,5,0,46,0,0,0,0,0,0,3h58min
security,0,96,4,0,17,0,83,0,0,0,0,0,0,9h54min
shaoshupai-trending-hot-search,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
slowle,4,6,1,0,1,0,10,0,0,0,0,0,0,48min
site,1,88,11,0,0,0,100,0,0,0,0,0,0,10h45min
slugplanners,0,19,0,0,1,0,18,0,0,0,0,0,0,1h22min
spacepirates,3,68,4,0,2,0,73,0,0,0,0,0,0,8h55min
speaker-calibration,99,1,0,0,1,0,99,0,0,0,0,0,0,8h17min
spice-diode-model-js,8,90,2,0,7,0,93,0,0,0,0,0,0,11h13min
spotify-friend-activity,4,5,0,0,1,0,8,0,0,0,0,0,0,45min
srs-docs,10,6,2,0,0,0,18,0,0,0,0,0,0,1h30min
standard,16,61,14,0,5,0,86,0,0,0,0,0,0,11h3min
strapi4,1,3,0,0,0,0,4,0,0,0,0,0,0,20min
stromausfall-snapshots,0,2,0,0,0,0,2,0,0,0,0,0,0,6min
strudel,4,93,3,0,0,0,100,0,0,0,0,0,0,3h10min
plattform,82,17,1,0,14,0,86,0,0,0,0,0,0,8h32min
study-blog,1,0,0,0,0,0,1,0,0,0,0,0,0,5min
sumanbiswas7,0,2,0,0,0,0,2,0,0,0,0,0,0,10min
svskaushik.github.io,13,33,1,0,5,0,42,0,0,0,0,0,0,2h41min
Theo-Platt.github.io,1,1,0,0,2,0,0,0,0,0,0,0,0,7min
thiagozf,0,3,0,0,0,0,3,0,0,0,0,0,0,2min
token-lists,4,8,0,0,0,0,12,0,0,0,0,0,0,1h
Tour-of-Honor-MobileApp,81,18,1,0,0,0,100,0,0,0,0,0,0,8h4min
Translators-Discord-Bot,1,16,6,0,2,0,21,0,0,0,0,0,0,3h45min
SoftUni_Main_SW_Engineering_Program,26,61,0,13,1,13,86,0,0,0,0,0,0,13h2min
tus-santander,48,22,2,0,1,1,70,0,0,0,0,0,0,6h16min
tools.openapis.org,87,13,0,0,16,0,84,0,0,0,0,0,0,7h46min
tutorscheduling-backend,14,85,1,0,1,0,99,0,0,0,0,0,0,6h51min
twitch_clips_player,9,75,16,0,0,0,100,0,0,0,0,0,0,14h35min
