Repository,Total Issues,Date Range,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
https://github.com/DFE-Digital/login.dfe.saml-assertions,88,issues created before 2021-01-01,0.0,0.0,1.23,0.0,14.72,7.98,39.88,0.61,21.47,14.11,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/pubkey/eth-crypto,353,issues created before 2021-01-01,0.75,0.56,2.32,1.35,14.54,0.97,45.46,0.34,15.63,18.09,"Dependency Management, Configuration & Build, Network & API"
https://github.com/DEFRA/hapi-pg-rest-api,139,issues created before 2021-01-01,1.81,0.68,2.79,1.13,9.36,10.34,40.75,0.08,25.74,7.32,"Dependency Management, Network & API, Security Vulnerabilities"
https://github.com/neighborhood999/vue-signature-pad,287,issues created before 2021-01-01,1.99,3.23,2.5,2.55,10.55,0.91,37.38,11.4,16.05,13.44,"Dependency Management, Network & API, Configuration & Build"
https://github.com/code16/website,15,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,"Dependency Management, Runtime Errors, Performance Issues"
https://github.com/PorticoEstate/PorticoEstate,1407,issues created before 2021-01-01,0.0,0.0,0.0,4.35,47.83,2.9,10.14,3.62,14.49,16.67,"Browser Compatibility, Configuration & Build, Network & API"
https://github.com/nutritionix/vue-nutrition-label,5,issues created before 2021-01-01,0.0,0.0,5.0,5.0,10.0,5.0,25.0,10.0,25.0,15.0,"Dependency Management, Network & API, Configuration & Build"
https://github.com/UKHomeOffice/asl-service,214,issues created before 2021-01-01,3.75,1.25,0.83,7.08,19.58,4.58,15.42,7.92,19.17,20.42,"Configuration & Build, Browser Compatibility, Network & API"
https://github.com/ninja33/ODH,178,issues created before 2021-01-01,0.0,0.62,1.23,1.23,41.98,0.62,3.09,1.23,48.77,1.23,"Network & API, Browser Compatibility, Dependency Management"
https://github.com/electerm/electerm-locales,14,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,"Network & API, Runtime Errors, Performance Issues"
https://github.com/arpesenti/sonnen-dashboard,2,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/canboat/canboatjs,145,issues created before 2021-01-01,2.9,1.45,1.45,2.9,34.78,1.45,30.43,0.0,18.84,5.8,"Browser Compatibility, Dependency Management, Network & API"
https://github.com/techiediaries/django-auth0-vue,2,issues created before 2021-01-01,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,"Async Programming, Framework-Specific, Network & API"
