,projectName,Repository,Total Issues,Date Range,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
36,cilium.io,cilium.io,579.0,issues created before 2025-01-01,0.0,1.87,0.78,2.34,24.02,6.08,19.5,4.06,35.88,5.46,"Network & API, Browser Compatibility, Dependency Management"
37,codewars-katas,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
38,collection-ui,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
39,com.tomtom,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
40,community-images,community-images,955.0,issues created before 2025-01-01,0.44,3.19,1.17,1.5,13.32,6.25,27.52,0.46,39.67,6.47,"Network & API, Dependency Management, Browser Compatibility"
41,content-entry-transform,content-entry-transform,801.0,issues created before 2025-01-01,0.63,0.13,0.25,0.13,24.86,6.3,47.09,0.16,17.16,3.29,"Dependency Management, Browser Compatibility, Network & API"
42,content-scope-scripts,content-scope-scripts,1358.0,issues created before 2025-01-01,1.04,1.01,1.49,2.07,17.4,6.0,36.63,1.0,22.52,10.84,"Dependency Management, Network & API, Browser Compatibility"
43,Crypto-Tracker,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
44,csaf-validator-lib,csaf-validator-lib,191.0,issues created before 2025-01-01,1.89,0.42,2.52,1.68,16.98,6.92,42.77,0.0,21.59,5.24,"Dependency Management, Network & API, Browser Compatibility"
45,curricularbwg,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
46,cybertiwari,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
47,cypress-crawl-example,cypress-crawl-example,66.0,issues created before 2025-01-01,1.35,0.51,1.18,1.18,13.54,1.18,43.49,1.35,23.86,12.35,"Dependency Management, Network & API, Browser Compatibility"
48,d3Charts,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
49,dashboard,dashboard,8.0,issues created before 2025-01-01,0.0,16.67,0.0,0.0,0.0,0.0,0.0,33.33,50.0,0.0,"Network & API, Framework-Specific, Performance Issues"
50,dataflux,dataflux,6.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,12.5,12.5,52.08,0.0,20.83,2.08,"Dependency Management, Network & API, Browser Compatibility"
51,deno-bin-test-1,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
