,projectName,Repository,Total Issues,Date Range,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
159,scarletflamecandleco.github.io,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
160,ScoreSaberRanking,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
161,SearchPhrases,SearchPhrases,6.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,"Browser Compatibility, Network & API, Runtime Errors"
162,security,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
163,shaoshupai-trending-hot-search,shaoshupai-trending-hot-search,2.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
164,site,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
165,slowle,slowle,2.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
166,slugplanners,slugplanners,2.0,issues created before 2025-01-01,6.45,0.0,9.68,0.0,9.68,6.45,32.26,0.0,25.81,9.68,"Dependency Management, Network & API, Async Programming"
167,SoftUni_Main_SW_Engineering_Program,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
168,speaker-calibration,speaker-calibration,57.0,issues created before 2025-01-01,9.09,0.0,0.0,0.0,9.09,0.0,0.0,9.09,72.73,0.0,"Network & API, Runtime Errors, Browser Compatibility"
169,spice-diode-model-js,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
170,spotify-friend-activity,spotify-friend-activity,29.0,issues created before 2025-01-01,1.12,1.12,1.12,7.87,41.57,1.12,21.35,1.12,17.98,5.62,"Browser Compatibility, Dependency Management, Network & API"
171,srs-docs,srs-docs,74.0,issues created before 2025-01-01,0.0,0.0,4.55,0.0,15.91,6.82,25.0,0.0,38.64,9.09,"Network & API, Dependency Management, Browser Compatibility"
172,standard,standard,2.0,issues created before 2025-01-01,12.5,0.0,12.5,12.5,0.0,0.0,12.5,37.5,0.0,12.5,"Framework-Specific, Runtime Errors, Async Programming"
173,strapi4,strapi4,685.0,issues created before 2025-01-01,0.0,0.0,0.0,2.14,1.2,0.0,1.87,0.67,89.42,4.69,"Network & API, Configuration & Build, State Management"
174,stromausfall-snapshots,stromausfall-snapshots,3.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
175,strudel,strudel,1189.0,issues created before 2025-01-01,1.57,4.44,2.46,6.28,21.43,0.0,16.38,3.34,38.5,5.6,"Network & API, Browser Compatibility, Dependency Management"
176,study-blog,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
177,sumanbiswas7,sumanbiswas7,2.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,"Dependency Management, Runtime Errors, Performance Issues"
178,svskaushik.github.io,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
179,thiagozf,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
180,token-lists,token-lists,164.0,issues created before 2025-01-01,1.59,1.36,2.72,2.04,13.62,4.99,35.64,0.11,26.11,11.8,"Dependency Management, Network & API, Browser Compatibility"
181,tools.openapis.org,tools.openapis.org,140.0,issues created before 2025-01-01,0.0,1.2,0.6,3.59,22.46,0.9,17.66,0.3,41.92,11.38,"Network & API, Browser Compatibility, Dependency Management"
182,Tour-of-Honor-MobileApp,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
183,Translators-Discord-Bot,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
184,tutorscheduling-backend,tutorscheduling-backend,227.0,issues created before 2025-01-01,2.56,0.0,2.56,0.0,38.46,10.26,12.82,0.0,20.51,12.82,"Browser Compatibility, Network & API, Dependency Management"
185,twitch_clips_player,twitch_clips_player,15.0,issues created before 2025-01-01,4.55,0.0,0.0,4.55,50.0,0.0,0.0,0.0,40.91,0.0,"Browser Compatibility, Network & API, Runtime Errors"
186,uber-clone,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
187,UMTX,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
188,unitedprinters.github.io,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
189,usdr-gost,usdr-gost,3813.0,issues created before 2025-01-01,0.88,1.3,1.16,4.2,13.74,7.5,34.91,2.14,27.82,6.34,"Dependency Management, Network & API, Browser Compatibility"
190,usercentrics-widgets,usercentrics-widgets,24.0,issues created before 2025-01-01,1.73,3.9,4.33,2.16,10.82,5.19,39.83,2.6,22.94,6.49,"Dependency Management, Network & API, Browser Compatibility"
191,user_migration,user_migration,798.0,issues created before 2025-01-01,1.07,0.59,0.33,2.25,11.23,7.75,41.15,4.55,24.35,6.73,"Dependency Management, Network & API, Browser Compatibility"
192,video-json,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
193,VincentJuge1987.github.io,VincentJuge1987.github.io,1.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
194,vizitka-interaktivni,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
195,voice-over-translation,voice-over-translation,841.0,issues created before 2025-01-01,0.59,0.07,0.99,0.59,39.96,0.33,17.51,0.07,39.17,0.72,"Browser Compatibility, Network & API, Dependency Management"
196,vue-currentuser,vue-currentuser,101.0,issues created before 2025-01-01,0.68,1.47,1.27,1.76,10.65,9.97,49.46,0.59,20.43,3.71,"Dependency Management, Network & API, Browser Compatibility"
197,vue-demo,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
198,vue-stark-boil,vue-stark-boil,5.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,20.0,20.0,40.0,20.0,0.0,0.0,"Dependency Management, Browser Compatibility, Security Vulnerabilities"
199,Warzone-generator,Warzone-generator,1.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
