project,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfVulnerabilities,numberOfCodeSmells,numberOfIssuesRelatedToMaintainability,numberOfIssuesRelatedToReliability,numberOfIssuesRelatedToSecurity,numberOfIssuesWithLowSeverity,numberOfIssuesWithMediumSeverity,numberOfIssuesWithHighSeverity,totalTimeNeededToRemoveDebts
6r1d.github.io,0,26,0,0,0,0,26,0,0,0,0,0,0,2h10min
aggregation-repository-provider,0,9,0,0,0,0,9,0,0,0,0,0,0,37min
altcoin-charter,27,73,0,0,6,1,93,0,0,0,0,0,0,6h56min
amadeus-node,7,22,13,0,7,0,35,0,0,0,0,0,0,7h2min
alfaromontufar.github.io,27,70,3,0,31,0,69,0,0,0,0,0,0,9h39min
21ca.github.io,0,100,0,0,0,0,100,0,0,0,0,0,0,8h20min
AHIA,1,98,1,0,1,0,99,0,0,0,0,0,0,9h13min
angular-devkit-schematics-cli-builds,6,6,0,0,0,0,12,0,0,0,0,0,0,1h30min
angular-devkit-core-builds,62,38,0,0,0,0,100,0,0,0,0,0,0,15h30min
angular-devkit-schematics-builds,31,59,10,0,1,0,99,0,0,0,0,0,0,12h5min
arcade-expressions,0,1,1,0,0,0,2,0,0,0,0,0,0,6min
asl,57,3,1,0,0,0,61,0,0,0,0,0,0,5h5min
asl-service,42,10,8,0,2,0,58,0,0,0,0,0,0,7h17min
api_automation_test,4,43,51,2,1,2,97,0,0,0,0,0,0,33h23min
asl-public-api,5,22,34,0,1,0,60,0,0,0,0,0,0,13h52min
atlas-tools,7,33,0,0,3,0,37,0,0,0,0,0,0,3h30min
BatGenV2,1,96,3,0,2,0,98,0,0,0,0,0,0,10h33min
battle-pong,7,9,3,0,4,0,15,0,0,0,0,0,0,1h45min
Battle-City,0,100,0,0,17,0,83,0,0,0,0,0,0,7h4min
beeline-nodejs,32,20,32,0,2,0,82,0,0,0,0,0,0,14h21min
bio,4,96,0,0,11,0,89,0,0,0,0,0,0,7h34min
bga-payroll,10,87,3,0,6,0,94,0,0,0,0,0,0,7h13min
blog.lucascantor.com,2,14,0,0,5,0,11,0,0,0,0,0,0,49min
Blocks-N-Head,2,96,2,0,3,0,97,0,0,0,0,0,0,12h49min
bootcamp-manager,46,52,2,0,9,0,91,0,0,0,0,0,0,8h36min
broker-factory,0,7,16,0,0,0,23,0,0,0,0,0,0,5h30min
bundler,1,17,2,0,0,0,20,0,0,0,0,0,0,1h21min
blocks-script,26,71,3,0,0,0,100,0,0,0,0,0,0,12h13min
bugsnag-build-reporter-node,0,8,0,0,3,0,5,0,0,0,0,0,0,55min
calculator,1,6,3,0,1,0,9,0,0,0,0,0,0,1h7min
ccd97.github.io,0,46,2,0,5,0,43,0,0,0,0,0,0,2h50min
calendar_weekly,2,96,2,0,0,0,100,0,0,0,0,0,0,8h31min
canboatjs,3,87,10,0,2,0,98,0,0,0,0,0,0,13h50min
cfn-schema,0,5,0,0,2,0,3,0,0,0,0,0,0,35min
cfn-execute-change-set,3,3,0,0,0,0,6,0,0,0,0,0,0,20min
ChangWinde.github.io,0,100,0,0,45,0,55,0,0,0,0,0,0,7h17min
cli,0,4,0,0,0,0,4,0,0,0,0,0,0,16min
app-builder,8,53,39,0,12,0,88,0,0,0,0,0,0,17h15min
CommandQueue,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
client,13,83,4,0,0,0,100,0,0,0,0,0,0,8h44min
collage,82,17,1,0,0,0,100,0,0,0,0,0,0,8h17min
Dabih,2,13,1,0,3,1,12,0,0,0,0,0,0,1h48min
dan-mba.github.io,50,50,0,0,5,0,95,0,0,0,0,0,0,8h9min
data-sources-parser,2,3,1,0,0,0,6,0,0,0,0,0,0,1h3min
Connective-Lex.info,15,74,11,0,3,0,97,0,0,0,0,0,0,9h44min
denmarkg.github.io,17,83,0,0,19,0,81,0,0,0,0,0,0,8h21min
devops-bootcamp,19,2,0,0,0,0,21,0,0,0,0,0,0,1h36min
DhananjayGupta300.github.io,20,79,1,0,15,0,85,0,0,0,0,0,0,8h7min
dd-trace-js,2,11,87,0,2,0,98,0,0,0,0,0,0,29h24min
dhjz.github.io,25,75,0,0,20,0,80,0,0,0,0,0,0,4h55min
discord-encryption,3,62,3,0,0,0,68,0,0,0,0,0,0,6h11min
DevAV,0,100,0,0,92,0,8,0,0,0,0,0,0,1h40min
dicomviewer,25,66,9,0,10,0,90,0,0,0,0,0,0,10h34min
django-auth0-vue,18,10,4,1,11,1,21,0,0,0,0,0,0,4h9min
django-globus-portal-framework,4,44,8,2,8,2,48,0,0,0,0,0,0,5h15min
duchuydo.github.io,6,87,7,0,8,0,92,0,0,0,0,0,0,7h8min
electerm-locales,1,8,0,0,0,0,9,0,0,0,0,0,0,37min
ember-bootstrap-modals-manager,19,10,0,0,4,0,25,0,0,0,0,0,0,2h11min
ember-mobile-menu,4,7,4,0,2,0,13,0,0,0,0,0,0,2h48min
elbum-demo,0,100,0,0,0,0,100,0,0,0,0,0,0,9h32min
emporniumuserscripts,2,98,0,0,0,0,100,0,0,0,0,0,0,11h15min
dashboard,9,34,57,0,0,0,100,0,0,0,0,0,0,21h16min
ember-mobile-pane,0,22,1,0,2,0,21,0,0,0,0,0,0,50min
eth-crypto,0,16,11,0,5,0,22,0,0,0,0,0,0,4h50min
ev-church-website,24,37,0,1,5,1,56,0,0,0,0,0,0,4h28min
ext-product-reviews,11,79,10,0,4,0,96,0,0,0,0,0,0,10h4min
fastify-citgm,0,4,0,0,0,0,4,0,0,0,0,0,0,17min
fastify-zipkin,0,2,0,0,0,0,2,0,0,0,0,0,0,10min
fdk-node,10,6,2,0,0,0,18,0,0,0,0,0,0,2h50min
find-this-value,0,4,0,0,0,0,4,0,0,0,0,0,0,20min
firefox-extensions,1,33,0,0,2,0,32,0,0,0,0,0,0,2h38min
flespi-io-js,14,76,10,0,5,0,95,0,0,0,0,0,0,11h19min
forte-table,64,36,0,0,7,0,93,0,0,0,0,0,0,8h18min
fluid,20,66,14,0,9,0,91,0,0,0,0,0,0,9h11min
explorer,64,32,4,0,0,0,100,0,0,0,0,0,0,7h31min
fosskers.ca,24,47,4,0,0,0,75,0,0,0,0,0,0,6h17min
fredy,3,9,16,0,3,0,25,0,0,0,0,0,0,6h20min
fsttheme,7,42,0,0,7,0,42,0,0,0,0,0,0,3h43min
functional-data-grid,48,48,4,0,20,0,80,0,0,0,0,0,0,8h55min
gauravagarwalr.com,43,5,0,0,0,0,48,0,0,0,0,0,0,3h55min
gitlab,0,17,1,0,5,0,13,0,0,0,0,0,0,1h14min
gomoku,0,72,1,0,1,0,72,0,0,0,0,0,0,10h46min
frontend,4,96,0,0,60,0,40,0,0,0,0,0,0,2h45min
graphql-dotnet.github.io,32,68,0,0,2,0,98,0,0,0,0,0,0,7h25min
group-sms,2,2,1,0,0,0,5,0,0,0,0,0,0,1h8min
grunt-simple-nyc,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
grid-form-builder,37,59,4,0,20,0,80,0,0,0,0,0,0,8h53min
hapi-pg-rest-api,10,53,0,0,11,0,52,0,0,0,0,0,0,5h52min
hegyhati.github.io,10,29,0,0,6,0,33,0,0,0,0,0,0,3h30min
hass,3,67,30,0,4,0,96,0,0,0,0,0,0,16h56min
HeliosLauncher,18,65,17,0,31,0,69,0,0,0,0,0,0,11h19min
hello-world,5,92,3,0,1,0,99,0,0,0,0,0,0,8h47min
georgegillams.co.uk,15,82,3,0,0,0,100,0,0,0,0,0,0,8h12min
hexChess,14,85,1,0,0,0,100,0,0,0,0,0,0,9h14min
homebridge-music,0,5,0,0,0,0,5,0,0,0,0,0,0,25min
highcharts-utils,7,87,6,0,4,0,96,0,0,0,0,0,0,9h36min
homebrew,0,4,0,0,0,0,4,0,0,0,0,0,0,20min
hosted-fields-sdk,0,33,2,0,0,2,33,0,0,0,0,0,0,3h31min
hosea,4,90,6,0,6,0,94,0,0,0,0,0,0,10h56min
html_to_md,3,26,1,0,5,0,25,0,0,0,0,0,0,1h38min
Huebot,10,42,13,0,15,0,50,0,0,0,0,0,0,12h23min
hotballoon,9,84,7,0,17,0,83,0,0,0,0,0,0,7h9min
id-auth,1,95,4,0,1,0,99,0,0,0,0,0,0,8h55min
