project,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfVulnerabilities,numberOfCodeSmells,numberOfIssuesRelatedToMaintainability,numberOfIssuesRelatedToReliability,numberOfIssuesRelatedToSecurity,numberOfIssuesWithLowSeverity,numberOfIssuesWithMediumSeverity,numberOfIssuesWithHighSeverity,totalTimeNeededToRemoveDebts
twitch_clips_player,10,72,18,0,0,0,100,0,0,0,0,0,0,14h37min
uber-clone,5,21,0,3,2,3,24,0,0,0,0,0,0,3h11min
tools.openapis.org,98,2,0,0,3,0,97,0,0,0,0,0,0,8h13min
UMTX,15,82,3,0,3,0,97,0,0,0,0,0,0,11h1min
usercentrics-widgets,2,7,0,0,0,0,9,0,0,0,0,0,0,36min
usdr-gost,13,49,38,0,3,0,97,0,0,0,0,0,0,18h35min
unitedprinters.github.io,18,79,3,0,14,0,86,0,0,0,0,0,0,8h29min
video-json,5,41,0,0,8,0,38,0,0,0,0,0,0,3h30min
user_migration,26,24,9,2,0,2,59,0,0,0,0,0,0,6h35min
VIkash-8090-Yadav,0,11,0,0,1,0,10,0,0,0,0,0,0,41min
vizitka-interaktivni,3,8,1,0,3,0,9,0,0,0,0,0,0,1h12min
VincentJuge1987.github.io,17,80,3,0,31,0,69,0,0,0,0,0,0,9h56min
voice-over-translation,12,78,10,0,13,0,87,0,0,0,0,0,0,12h3min
vue-currentuser,0,1,1,0,0,0,2,0,0,0,0,0,0,10min
vue-demo,2,3,0,0,1,0,4,0,0,0,0,0,0,22min
vue-stark-boil,0,4,0,0,0,0,4,0,0,0,0,0,0,20min
Warzone-generator,23,35,0,0,23,0,35,0,0,0,0,0,0,6h4min
warlord,10,86,4,0,10,0,90,0,0,0,0,0,0,11h4min
wasm,0,12,2,0,0,0,14,0,0,0,0,0,0,1h40min
web-logbook,2,74,24,0,3,0,97,0,0,0,0,0,0,14h19min
web-swedish-reader,4,16,7,0,8,0,19,0,0,0,0,0,0,3h23min
web-components-toolbox,8,85,7,0,4,0,96,0,0,0,0,0,0,8h33min
webpack-plugin,0,27,0,0,0,0,27,0,0,0,0,0,0,1h58min
website-11ty,2,98,0,0,90,0,10,0,0,0,0,0,0,2h46min
WebProgrammingIIRU,70,20,10,0,12,2,86,0,0,0,0,0,0,10h9min
webvm,11,37,0,0,24,0,24,0,0,0,0,0,0,3h56min
wiki,33,67,0,0,0,0,100,0,0,0,0,0,0,8h20min
wol-server,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
wordsmith,2,2,3,0,2,0,5,0,0,0,0,0,0,1h2min
woostats,90,9,1,0,5,0,95,0,0,0,0,0,0,9h5min
wortsel,7,30,1,0,1,0,37,0,0,0,0,0,0,4h14min
wp-pronamic-slider,22,13,1,0,1,0,35,0,0,0,0,0,0,2h42min
wx_miniprogram_act,9,91,0,0,2,0,98,0,0,0,0,0,0,8h17min
work,39,61,0,0,13,1,86,0,0,0,0,0,0,8h58min
youtubeclone,11,6,3,0,0,0,20,0,0,0,0,0,0,1h40min
zadark,0,100,0,0,4,0,96,0,0,0,0,0,0,8h4min
zamg-measurment-collector,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
zatumu.github.io,52,48,0,0,7,0,93,0,0,0,0,0,0,6h4min
zzz_wx_ui,5,93,2,0,2,0,98,0,0,0,0,0,0,8h10min
Baileys,22,62,16,0,3,0,97,0,0,0,0,0,0,10h18min
