repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
DFE-Digital/login.dfe.audit.winston-sequelize-transport,20,1.346,5.5817,0.0,0.0151,0.0608,0.0011,25.6707,26.9195,14
jermbo/SampleAPIs,107,4.0343,19.5587,0.0,0.0011,0.1797,0.0001,154.762,431.6671,69
hmerritt/discord-encryption,7,153.3895,201.379,0.34,56.6904,459.0043,0.0168,479.0062,1073.7267,1
UKHomeOffice/asl,300,0.7642,2.6639,0.0,0.0124,0.1516,0.0001,33.923,229.2702,190
UKHomeOffice/asl-public-api,309,1.0208,2.3584,0.01,0.0555,0.8464,0.0004,16.9064,315.4289,147
DFE-Digital/login.dfe.saml-assertions,85,3.4614,27.2064,0.0,0.0092,0.0509,0.0001,251.4939,294.2167,58
pubkey/eth-crypto,342,1.7906,10.1367,0.04,0.0634,0.1117,0.0003,110.1597,612.3926,87
DEFRA/hapi-pg-rest-api,114,44.9806,73.0809,0.99,16.9733,58.3037,0.0001,429.5434,5127.788,22
neighborhood999/vue-signature-pad,255,19.5104,32.8017,0.04,4.4196,27.7264,0.0,305.7686,4975.1593,63
code16/website,15,0.0043,0.0157,0.0,0.0001,0.0001,0.0001,0.0631,0.0641,14
PorticoEstate/PorticoEstate,1393,0.244,4.9125,0.0,0.0001,0.0001,0.0,130.0034,339.8399,1367
nutritionix/vue-nutrition-label,3,0.1874,0.1326,0.0,0.268,0.2938,0.0005,0.2938,0.5623,1
UKHomeOffice/asl-service,214,0.7071,2.032,0.0,0.018,0.2332,0.0002,20.7485,151.3175,131
ninja33/ODH,57,49.8502,120.2998,0.39,1.7538,34.3738,0.0066,598.2802,2841.4602,4
electerm/electerm-locales,14,0.4443,0.7086,0.0,0.2769,0.5641,0.0001,2.7585,6.2201,6
arpesenti/sonnen-dashboard,2,0.0025,0.0016,0.0,0.0041,0.0041,0.0009,0.0041,0.005,2
canboat/canboatjs,138,4.0708,12.9254,0.0,0.0016,0.3794,0.0001,96.1549,561.7756,85
larvit/larvitbase-www,50,27.0216,69.3793,0.05,0.1137,21.0876,0.0011,354.0704,1351.0806,7
dvrpc/TCDI,5,1.1699,0.836,0.95,1.0588,1.0964,0.0817,2.6672,5.8494,0
sjakthol/cfn-execute-change-set,2,4.2393,2.5487,1.69,6.788,6.788,1.6906,6.788,8.4786,0
NitishPuri/ProcessingExperiments,2,0.0028,0.0028,0.0,0.0056,0.0056,0.0001,0.0056,0.0057,2
JuneAndGreen/sm-crypto,24,117.1732,163.1366,9.41,30.8426,271.1905,0.0386,585.0076,2812.1567,1
BuildFire/upVotePlugin,9,5.4702,12.727,0.02,0.4134,0.9238,0.0002,41.1227,49.2314,3
dscalzi/HeliosLauncher,108,25.4999,83.8535,0.11,0.7742,14.1417,0.0003,588.9508,2753.99,16
SebOuellette/LiveBot,85,42.522,121.8156,0.04,1.2523,9.8891,0.0002,696.0761,3614.3671,22
ebshimizu/stats-of-the-storm,294,17.0186,66.656,0.28,2.1107,9.1845,0.0,949.7661,5003.4616,45
funmaker/collage,5,33.269,46.0304,12.07,12.8101,16.0934,0.6377,124.7356,166.3449,0
HowProgrammingWorks/Pool,1,0.9096,0.0,0.91,0.9096,0.9096,0.9096,0.9096,0.9096,0
fastify/fastify-zipkin,20,52.5483,160.8804,0.25,0.775,8.7762,0.0541,692.0787,1050.9669,0
fastify/fastify-citgm,1,0.8166,0.0,0.82,0.8166,0.8166,0.8166,0.8166,0.8166,0
ClearC2/grid-form-builder,166,1.7803,5.7659,0.0,0.0032,0.3113,0.0001,39.8723,295.5379,110
brunomacedo/ssl-express-www,7,34.3854,82.4041,0.01,0.0596,4.187,0.0073,236.2032,240.6975,3
movableink/data-sources-parser,8,0.7611,1.0282,0.03,0.1029,1.8467,0.0272,2.9131,6.089,3
Salesflare/unimail,74,35.8216,121.825,3.42,13.9879,31.3545,0.0011,1032.0613,2650.7966,3
ENT8R/NotesReview,60,26.6956,60.428,0.07,0.2875,10.9479,0.0003,347.6203,1601.7353,9
monk-time/userscripts,1,1.1714,0.0,1.17,1.1714,1.1714,1.1714,1.1714,1.1714,0
Starrynightzyq/starrynightzyq.github.io,5,40.8433,41.2175,18.69,18.6923,25.0064,18.6923,123.133,204.2163,0
flexiooss/hotballoon,27,47.6605,73.4929,0.0,0.0133,133.4493,0.0003,196.4152,1286.834,14
maybe2020/maybe2020.github.io,4,29.6947,22.2204,27.29,27.8081,63.1163,0.5632,63.1163,118.7787,0
opencast/annotation-tool,266,105.6605,151.0555,5.86,42.8418,139.0175,0.0015,1303.9363,28105.6873,8
weishakeji/LearningSystem,2,32.7114,20.5464,12.17,53.2578,53.2578,12.1651,53.2578,65.4229,0
ThundeRatz/ThunderSite,20,2.0087,6.9579,0.0,0.0008,0.5544,0.0001,31.8481,40.1745,14
henrycatalinismith/toad_modules,1,0.5736,0.0,0.57,0.5736,0.5736,0.5736,0.5736,0.5736,0
sanger/quanthub,79,7.6719,28.108,0.0,0.0097,2.6571,0.0018,174.8023,606.0804,51
shopgate/ext-product-reviews,17,19.4422,69.0877,0.06,0.7931,2.7187,0.0001,295.431,330.5172,3
Esri/projection-engine-db-doc,25,24.5069,46.0929,0.0,0.0434,28.1655,0.0001,148.3612,612.6731,12
manzanillo/smerge,62,78.5606,133.287,2.33,15.3033,130.1491,0.0001,542.8378,4870.759,8
surveyjs/surveyjs-wordpress,9,58.8072,110.8449,2.88,6.6436,11.0965,0.0548,344.886,529.2652,0
nickschot/ember-mobile-pane,19,54.2242,100.1804,0.0,0.8514,60.5974,0.0,359.5602,1030.2594,6
nuintun/bundler,242,4.4026,6.9836,0.8,2.2778,4.8222,0.0008,61.4492,1065.4188,13
stadelmanma/tree-sitter-fortran,43,80.5303,199.6198,0.01,1.6329,83.9521,0.0002,928.9755,3462.803,13
orgapp/orgajs,45,55.1949,104.8235,0.91,11.0331,46.4366,0.0017,613.0926,2483.769,2
iobroker-community-adapters/ioBroker.spotify-premium,60,25.7929,46.686,0.08,4.3449,32.5661,0.0001,210.6498,1547.5766,14
ryanwalters/sticky-events,128,5.6027,28.6516,0.01,0.1136,0.642,0.0002,239.7383,717.1514,48
dobernike/learn-web,42,20.2498,116.7553,0.0,0.006,0.1789,0.0001,767.4618,850.4898,31
elzup/random-word-wikipedia,4,2.1184,2.9016,0.08,1.2423,7.0762,0.0749,7.0762,8.4738,0
jaxx2104/nikuman,428,8.7947,28.6443,0.04,0.0702,0.4613,0.0005,332.0237,3764.1487,121
node-3d/image-raub,4,14.7045,16.4459,2.82,14.3322,41.6339,0.03,41.6339,58.8179,1
ev-church-website/ev-church-website,1,1.0203,0.0,1.02,1.0203,1.0203,1.0203,1.0203,1.0203,0
ecomplus/passport,11,41.7527,98.6475,0.01,0.8728,30.1176,0.0064,346.5099,459.2795,3
Opencast-Moodle/moodle-tool_opencast,16,34.6427,59.7103,0.08,8.9599,36.0616,0.0001,235.3601,554.2825,4
g33kio/vue-mousetrap,3,0.0005,0.0006,0.0,0.0001,0.0013,0.0001,0.0013,0.0015,3
bugsnag/webpack-bugsnag-plugins,46,31.2336,65.882,0.67,3.7417,32.8311,0.0055,305.0452,1436.7464,3
w3c/wai-website-theme,20,10.2447,41.2502,0.0,0.0192,0.6797,0.0001,189.8767,204.8932,11
pixilab/blocks-script,10,0.221,0.1991,0.04,0.1802,0.4582,0.0107,0.5761,2.21,2
ministryofjustice/manage-key-workers,515,0.401,2.5152,0.01,0.0248,0.0875,0.0001,51.327,206.5034,317
WebThingsIO/zigbee-adapter,213,43.7515,140.6924,0.04,0.7491,5.7459,0.0001,1012.271,9319.0765,56
streetlives/streetlives-api,40,35.616,75.581,0.1,2.9186,33.1265,0.0002,320.3325,1424.6384,9
clshortfuse/materialdesignweb,8,12.7516,25.375,0.21,0.7604,14.5773,0.0196,78.6639,102.0131,1
devcode-git/hosted-fields-sdk,12,41.8258,63.8502,2.02,14.1247,99.7132,0.0016,214.1786,501.9092,2
jue89/node-mqttsngw-mqttbroker,3,140.0573,100.2188,0.27,189.7087,230.1958,0.2674,230.1958,420.172,0
MasterRO94/laravel-mail-viewer,2,15.5451,15.5219,0.02,31.067,31.067,0.0232,31.067,31.0902,1
globus/django-globus-portal-framework,95,49.8068,89.4743,0.0,4.1591,40.8277,0.0001,353.3769,4731.6448,32
leovcunha/movie-recom,1,0.0002,0.0,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,1
chuhx1024/myNotes,11,27.3831,39.3466,0.05,9.1221,27.1292,0.0048,115.0947,301.2139,1
wouterdhooghe/svenenwouter2,51,20.9782,34.599,0.56,4.3814,30.9049,0.0002,137.5812,1069.8881,6
fosskers/fosskers.ca,37,21.763,87.7948,0.01,0.2295,0.8582,0.0001,479.163,805.2293,17
