project,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfVulnerabilities,numberOfCodeSmells,numberOfIssuesRelatedToMaintainability,numberOfIssuesRelatedToReliability,numberOfIssuesRelatedToSecurity,numberOfIssuesWithLowSeverity,numberOfIssuesWithMediumSeverity,numberOfIssuesWithHighSeverity,totalTimeNeededToRemoveDebts
6r1d.github.io,0,26,0,0,0,0,26,0,0,0,0,0,0,2h10min
aggregation-repository-provider,0,9,0,0,0,0,9,0,0,0,0,0,0,37min
altcoin-charter,52,36,1,1,4,1,85,0,0,0,0,0,0,7h14min
amadeus-node,5,15,13,0,7,0,26,0,0,0,0,0,0,6h17min
alfaromontufar.github.io,28,69,3,0,35,0,65,0,0,0,0,0,0,9h16min
21ca.github.io,0,100,0,0,0,0,100,0,0,0,0,0,0,8h20min
angular-devkit-schematics-cli-builds,6,6,0,0,0,0,12,0,0,0,0,0,0,1h30min
AHIA,1,98,1,0,1,0,99,0,0,0,0,0,0,9h13min
angular-devkit-core-builds,25,63,12,0,0,0,100,0,0,0,0,0,0,14h30min
angular-devkit-schematics-builds,16,71,13,0,1,0,99,0,0,0,0,0,0,9h51min
asl,42,2,1,0,0,0,45,0,0,0,0,0,0,3h45min
asl-public-api,5,13,18,0,0,0,36,0,0,0,0,0,0,7h27min
api_automation_test,4,43,51,2,1,2,97,0,0,0,0,0,0,33h33min
asl-service,33,10,8,0,2,0,49,0,0,0,0,0,0,6h32min
BatGenV2,1,96,3,0,2,0,98,0,0,0,0,0,0,10h33min
battle-pong,7,9,2,0,4,0,14,0,0,0,0,0,0,1h35min
beeline-nodejs,18,17,24,0,2,0,57,0,0,0,0,0,0,10h46min
Battle-City,0,100,0,0,17,0,83,0,0,0,0,0,0,7h4min
bio,4,96,0,0,11,0,89,0,0,0,0,0,0,7h34min
bga-payroll,8,87,5,0,9,0,91,0,0,0,0,0,0,8h23min
blog.lucascantor.com,2,14,0,0,5,0,11,0,0,0,0,0,0,49min
Blocks-N-Head,2,96,2,0,3,0,97,0,0,0,0,0,0,12h49min
broker-factory,0,5,15,0,0,0,20,0,0,0,0,0,0,5h
bootcamp-manager,46,52,2,0,9,0,91,0,0,0,0,0,0,8h36min
blocks-script,6,91,3,0,0,0,100,0,0,0,0,0,0,8h45min
bugsnag-build-reporter-node,0,7,0,0,3,0,4,0,0,0,0,0,0,50min
calculator,1,6,3,0,1,0,9,0,0,0,0,0,0,1h7min
bundler,0,14,2,0,0,0,16,0,0,0,0,0,0,1h4min
calendar_weekly,5,92,3,0,0,0,100,0,0,0,0,0,0,9h59min
ccd97.github.io,0,46,2,0,5,0,43,0,0,0,0,0,0,2h50min
cfn-execute-change-set,3,3,0,0,0,0,6,0,0,0,0,0,0,20min
canboatjs,2,92,6,0,0,0,100,0,0,0,0,0,0,11h11min
cfn-schema,0,3,0,0,2,0,1,0,0,0,0,0,0,25min
ChangWinde.github.io,0,100,0,0,45,0,55,0,0,0,0,0,0,7h17min
CommandQueue,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
collage,88,12,0,0,0,0,100,0,0,0,0,0,0,8h9min
Dabih,2,13,1,0,3,1,12,0,0,0,0,0,0,1h48min
client,4,95,1,0,4,0,96,0,0,0,0,0,0,7h57min
data-sources-parser,2,3,1,0,0,0,6,0,0,0,0,0,0,1h3min
app-builder,29,34,37,0,2,0,98,0,0,0,0,0,0,17h25min
dan-mba.github.io,26,74,0,0,5,0,95,0,0,0,0,0,0,8h
Connective-Lex.info,15,74,11,0,3,0,97,0,0,0,0,0,0,9h44min
devops-bootcamp,12,1,0,0,0,0,13,0,0,0,0,0,0,1h1min
denmarkg.github.io,14,86,0,0,15,0,85,0,0,0,0,0,0,14h52min
dashboard,22,41,37,0,4,0,96,0,0,0,0,0,0,16h8min
DhananjayGupta300.github.io,20,79,1,0,15,0,85,0,0,0,0,0,0,8h7min
dd-trace-js,0,42,58,0,3,0,97,0,0,0,0,0,0,20h33min
dhjz.github.io,25,75,0,0,20,0,80,0,0,0,0,0,0,4h55min
discord-encryption,3,42,3,0,0,0,48,0,0,0,0,0,0,4h56min
django-auth0-vue,18,10,4,1,11,1,21,0,0,0,0,0,0,4h9min
DevAV,0,100,0,0,92,0,8,0,0,0,0,0,0,1h40min
dicomviewer,25,66,9,0,10,0,90,0,0,0,0,0,0,10h34min
django-globus-portal-framework,4,40,8,2,8,2,44,0,0,0,0,0,0,4h49min
electerm-locales,1,0,0,0,0,0,1,0,0,0,0,0,0,5min
ember-bootstrap-modals-manager,9,5,0,0,4,0,10,0,0,0,0,0,0,1h4min
ember-mobile-menu,0,4,0,0,2,0,2,0,0,0,0,0,0,14min
duchuydo.github.io,21,79,0,0,64,0,36,0,0,0,0,0,0,5h3min
ember-mobile-pane,0,20,1,0,2,0,19,0,0,0,0,0,0,50min
elbum-demo,1,99,0,0,0,0,100,0,0,0,0,0,0,8h20min
emporniumuserscripts,2,97,1,0,1,0,99,0,0,0,0,0,0,11h19min
ev-church-website,23,31,0,0,5,0,49,0,0,0,0,0,0,3h35min
eth-crypto,0,16,11,0,5,0,22,0,0,0,0,0,0,4h50min
ext-product-reviews,11,79,10,0,4,0,96,0,0,0,0,0,0,10h4min
fastify-citgm,0,4,0,0,0,0,4,0,0,0,0,0,0,17min
fastify-zipkin,0,2,0,0,0,0,2,0,0,0,0,0,0,10min
fdk-node,6,2,2,0,0,0,10,0,0,0,0,0,0,1h40min
find-this-value,0,4,0,0,0,0,4,0,0,0,0,0,0,20min
firefox-extensions,1,33,0,0,2,0,32,0,0,0,0,0,0,2h38min
flespi-io-js,12,66,11,0,4,0,85,0,0,0,0,0,0,10h4min
explorer,83,15,2,0,0,0,100,0,0,0,0,0,0,7h31min
forte-table,72,28,0,0,3,0,97,0,0,0,0,0,0,8h9min
fluid,18,68,14,0,10,0,90,0,0,0,0,0,0,8h35min
fosskers.ca,24,0,0,0,0,0,24,0,0,0,0,0,0,2h
fredy,0,4,8,0,3,0,9,0,0,0,0,0,0,3h
fsttheme,7,42,0,0,7,0,42,0,0,0,0,0,0,3h43min
gauravagarwalr.com,38,4,0,0,0,0,42,0,0,0,0,0,0,3h25min
functional-data-grid,48,48,4,0,20,0,80,0,0,0,0,0,0,8h55min
gitlab,0,16,1,0,5,0,12,0,0,0,0,0,0,1h9min
gomoku,0,72,1,0,1,0,72,0,0,0,0,0,0,10h46min
frontend,4,96,0,0,60,0,40,0,0,0,0,0,0,2h45min
graphql-dotnet.github.io,8,92,0,0,9,0,91,0,0,0,0,0,0,4h25min
group-sms,1,2,1,0,0,0,4,0,0,0,0,0,0,48min
grunt-simple-nyc,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
hass,3,2,0,0,1,0,4,0,0,0,0,0,0,26min
georgegillams.co.uk,33,66,1,0,0,0,100,0,0,0,0,0,0,4h38min
hapi-pg-rest-api,10,53,0,0,11,0,52,0,0,0,0,0,0,5h52min
hegyhati.github.io,6,26,0,0,4,0,28,0,0,0,0,0,0,2h43min
hello-world,5,92,3,0,1,0,99,0,0,0,0,0,0,8h47min
HeliosLauncher,19,59,22,0,31,0,69,0,0,0,0,0,0,12h15min
grid-form-builder,9,89,2,0,1,0,99,0,0,0,0,0,0,8h15min
homebridge-music,0,4,0,0,0,0,4,0,0,0,0,0,0,20min
hexChess,14,85,1,0,0,0,100,0,0,0,0,0,0,9h14min
highcharts-utils,4,93,3,0,2,0,98,0,0,0,0,0,0,9h33min
homebrew,0,3,0,0,0,0,3,0,0,0,0,0,0,15min
hosted-fields-sdk,0,25,1,0,0,1,25,0,0,0,0,0,0,2h26min
hosea,4,90,6,0,6,0,94,0,0,0,0,0,0,10h56min
hotballoon,2,66,6,0,13,0,61,0,0,0,0,0,0,6h6min
html_to_md,3,26,1,0,5,0,25,0,0,0,0,0,0,1h38min
Huebot,5,22,7,0,4,0,30,0,0,0,0,0,0,7h1min
id-auth,1,95,4,0,1,0,99,0,0,0,0,0,0,8h55min
idsia-robotics.github.io,6,91,3,0,1,0,99,0,0,0,0,0,0,12h7min
image-raub,1,3,0,0,1,0,3,0,0,0,0,0,0,30min
ioBroker.spotify-premium,12,83,5,0,9,0,91,0,0,0,0,0,0,9h36min
