,projectName,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days
84,Harry-Potter-character-searcher-React,1.0,0.0018,0.0,0.0,0.0018,0.0018,0.0018,0.0018,0.0018
85,HatsAndCaps,2.0,0.0001,0.0,0.0,0.0002,0.0002,0.0001,0.0002,0.0002
86,helix-mediahandler,271.0,1.1429,13.6433,0.08,0.1094,0.1595,0.0002,224.9575,309.7382
87,helix-sidekick-extension,792.0,18.7441,65.8347,0.13,1.1839,7.8035,0.0001,694.7618,14845.2882
88,hello-world-nextjs,486.0,0.5907,2.0134,0.0,0.0199,0.4244,0.0001,31.9615,287.103
89,homebridge-deconz,233.0,14.9433,43.5415,0.47,3.041,14.3024,0.002,521.0724,3481.7978
90,homeChange_vs2022,6.0,0.004,0.0052,0.0,0.0009,0.0114,0.0001,0.0115,0.0243
91,IDEddy.github.io,,,,,,,,,
92,imageframe,21.0,0.5265,1.6727,0.0,0.0001,0.0005,0.0,7.0082,11.0569
93,intelligent-EMB,201.0,10.944,49.068,0.0,0.0347,7.0001,0.0,384.5951,2199.7442
94,Interview-questions,,,,,,,,,
95,ip1-8191201,,,,,,,,,
96,ipv-cri-address-front,1025.0,14.3587,55.3175,0.89,2.0547,8.9954,0.0017,776.144,14717.6205
97,ipv-cri-kbv-front,1130.0,10.5986,36.6706,0.99,1.0275,6.0339,0.0007,552.9858,11976.4106
98,Javascript-challenges,,,,,,,,,
99,JavascriptKeyboard,65.0,10.8348,26.6288,0.36,1.2025,5.5731,0.0008,164.9951,704.2638
100,JavaScriptLearning,,,,,,,,,
101,jetpack-shared-extension-utils,,,,,,,,,
102,jordangalida.github.io,,,,,,,,,
103,jradziejewski,,,,,,,,,
104,js-taiwan-after-schools-map,,,,,,,,,
105,kappaml.com,,,,,,,,,
106,kek-online-archive,,,,,,,,,
107,koreaygj.github.io,2.0,81.0073,0.7429,80.26,81.7502,81.7502,80.2644,81.7502,162.0146
108,korogluoykuleri,,,,,,,,,
109,labs,484.0,2.199,26.3855,0.0,0.0014,0.016,0.0003,568.0171,1064.3109
110,lcgbr-ecom,3.0,0.0046,0.0062,0.0,0.0002,0.0134,0.0001,0.0134,0.0137
111,learn-express,,,,,,,,,
112,lectures,,,,,,,,,
113,leet-code,,,,,,,,,
114,legacy_annotation_tool,805.0,38.8052,81.4925,0.84,6.0979,30.2913,0.0001,580.4909,31238.1507
115,lifehacks,,,,,,,,,
116,logger,,,,,,,,,
117,luckyos-code.github.io,,,,,,,,,
118,luma-homeops,2141.0,0.4682,8.7214,0.0,0.0,0.0,0.0,247.7426,1002.3095
119,madcamp_week2_server,,,,,,,,,
120,manav,2.0,0.0059,0.0057,0.0,0.0116,0.0116,0.0001,0.0116,0.0117
121,markharrison.github.io,,,,,,,,,
122,MC_go,,,,,,,,,
123,minesweeper,,,,,,,,,
124,mocowcow.github.io,1.0,6.2569,0.0,6.26,6.2569,6.2569,6.2569,6.2569,6.2569
125,mrKuznetsov698.github.io,,,,,,,,,
126,msswabot,1.0,0.003,0.0,0.0,0.003,0.003,0.003,0.003,0.003
127,ndarray-base-assert-is-read-only,,,,,,,,,
128,ndarray-zeros,,,,,,,,,
129,Nerinyan-WEB,42.0,1.8732,11.578,0.0,0.0001,0.0001,0.0,75.9811,78.6735
130,Nick-NCSU.github.io,,,,,,,,,
131,nimmersatt,2.0,27.4814,14.4858,13.0,41.9672,41.9672,12.9956,41.9672,54.9627
132,node-red-my-nodes,8.0,24.9664,30.5273,0.45,4.9406,66.0388,0.0086,68.2095,199.7313
133,node.it,,,,,,,,,
134,nodejs-express-jwt-mongodb-boilerplate,,,,,,,,,
135,NSE-BhavCopy-Daily,5.0,0.0014,0.0017,0.0,0.0002,0.0019,0.0001,0.0045,0.0069
136,obscene_racing_machine,,,,,,,,,
137,OpiskelijalounasWebFetchAction,,,,,,,,,
138,personal-landing-page,425.0,3.6392,12.8856,0.0,0.0019,0.9971,0.0003,107.9747,1546.6456
139,PersonalSite,,,,,,,,,
140,pgz-hiprint-html,,,,,,,,,
141,philanderson.uk,,,,,,,,,
142,PiLot,11.0,20.7706,57.9178,0.0,0.0537,2.1474,0.0002,202.7705,228.4762
143,Pixel-Art-Maker-at-Masterschool,,,,,,,,,
144,plattform,936.0,18.9468,68.3969,0.03,0.7545,6.9133,0.0,735.3116,17734.1869
145,playchess,,,,,,,,,
146,pob-monorepo-test-repository,357.0,10.7831,31.4312,0.0,0.0007,0.0154,0.0001,275.9627,3849.5635
147,portfolio,2.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0002
148,portfolio-ggc,,,,,,,,,
149,Portfolio_old,,,,,,,,,
150,pravee03,,,,,,,,,
151,presentations,2.0,0.0002,0.0001,0.0,0.0003,0.0003,0.0001,0.0003,0.0003
152,press-start,3.0,0.0004,0.0002,0.0,0.0004,0.0006,0.0001,0.0006,0.0011
153,putio-downloader,57.0,2.3809,3.5663,0.05,0.7419,2.0982,0.0001,11.0737,135.7114
154,Quotes,36.0,0.5709,1.3028,0.0,0.0087,0.7689,0.0001,5.6077,20.5526
155,RAScripts,,,,,,,,,
156,roborock-controller-api,53.0,1.7498,3.4695,0.01,0.0907,2.328,0.0001,11.5205,92.7399
157,rss-feed-parser,,,,,,,,,
158,Rules,55.0,15.1754,29.9135,0.09,2.7751,19.3771,0.0001,163.3042,834.649
159,scarletflamecandleco.github.io,,,,,,,,,
160,ScoreSaberRanking,,,,,,,,,
161,SearchPhrases,5.0,135.0864,213.1513,3.53,33.1044,81.0628,0.3027,557.4311,675.4318
162,security,,,,,,,,,
163,shaoshupai-trending-hot-search,1.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
164,site,,,,,,,,,
165,slowle,1.0,0.0002,0.0,0.0,0.0002,0.0002,0.0002,0.0002,0.0002
166,slugplanners,2.0,0.0009,0.0,0.0,0.0009,0.0009,0.0009,0.0009,0.0018
167,SoftUni_Main_SW_Engineering_Program,,,,,,,,,
168,speaker-calibration,57.0,0.5466,1.9442,0.0,0.0025,0.0875,0.0001,13.995,31.1563
169,spice-diode-model-js,,,,,,,,,
170,spotify-friend-activity,26.0,5.0649,13.3092,0.36,1.2495,3.7551,0.0008,69.6486,131.6868
171,srs-docs,71.0,43.1346,113.4682,0.01,0.7265,16.3571,0.0002,630.3034,3062.5556
172,standard,2.0,0.0005,0.0004,0.0,0.0009,0.0009,0.0001,0.0009,0.001
173,strapi4,684.0,1.8869,20.0725,0.0,0.0033,0.0038,0.0023,360.0763,1290.6716
174,stromausfall-snapshots,3.0,0.0004,0.0001,0.0,0.0004,0.0005,0.0002,0.0005,0.0011
175,strudel,930.0,24.4165,73.2798,0.01,0.7338,6.5538,0.0001,663.2902,22707.3892
176,study-blog,,,,,,,,,
177,sumanbiswas7,2.0,0.0007,0.0006,0.0,0.0013,0.0013,0.0001,0.0013,0.0014
178,svskaushik.github.io,,,,,,,,,
179,thiagozf,,,,,,,,,
180,token-lists,155.0,43.8851,95.8846,0.06,3.9001,38.1418,0.0005,497.8959,6802.1884
181,tools.openapis.org,115.0,13.5047,35.8856,0.0,0.0139,3.1517,0.0,257.6574,1553.0427
182,Tour-of-Honor-MobileApp,,,,,,,,,
183,Translators-Discord-Bot,,,,,,,,,
184,tutorscheduling-backend,227.0,2.368,8.3362,0.0,0.0003,0.6489,0.0,83.8915,537.5435
185,twitch_clips_player,9.0,173.807,235.0823,0.97,9.554,318.0347,0.0577,633.4759,1564.263
186,uber-clone,,,,,,,,,
187,UMTX,,,,,,,,,
188,unitedprinters.github.io,,,,,,,,,
189,usdr-gost,3493.0,13.8169,49.3962,0.01,0.0264,3.7126,0.0001,868.9608,48262.5717
190,usercentrics-widgets,24.0,68.202,72.3799,3.73,77.0809,108.4422,0.0005,193.4976,1636.8475
191,user_migration,769.0,8.8659,40.9109,0.1,1.2741,3.6202,0.0001,534.3372,6817.8683
192,video-json,,,,,,,,,
193,VincentJuge1987.github.io,1.0,712.2888,0.0,712.29,712.2888,712.2888,712.2888,712.2888,712.2888
194,vizitka-interaktivni,,,,,,,,,
195,voice-over-translation,745.0,25.531,82.5331,0.12,0.7768,10.6844,0.0,1058.3619,19020.6001
196,vue-currentuser,101.0,1.1781,2.9298,0.0,0.0352,1.3473,0.0001,22.7509,118.9843
197,vue-demo,,,,,,,,,
198,vue-stark-boil,1.0,50.3695,0.0,50.37,50.3695,50.3695,50.3695,50.3695,50.3695
199,Warzone-generator,1.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
